file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,premise_one,premise_two,p1_outcome,p2_outcome,p1_sentence,p2_sentence,q1,q2,q3,q4,trial_number,q1_type,q2_type,q3_type,q4_type,response,question_order
data_2019-09-03-13-10-57_pkuyz0772r,null,Welcome to the experiment. Press any key to begin.,null,html-keyboard-response,0,3,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,"<p>In this task, you will read the outcomes of drug trials and then judge drug efficacies</p><p>Press any key to begin.</p>",null,html-keyboard-response,1,6,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,2,1009,0.0-2.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Acetarmin were cured</p><p>People who took Acetarmin and Amlobenzaprine were not cured</p>,null,html-keyboard-response,3,1010,0.0-2.0-1.0,A+,AB-,TRUE,FALSE,People who took Acetarmin were cured,People who took Acetarmin and Amlobenzaprine were not cured,null,How well does the combination of Acetarmin and Amlobenzaprine work?,How well does Amlobenzaprine work?,How well does Acetarmin work?,2,4,3,2,1,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,4,1022,0.0-2.0-2.0,A+,AB-,TRUE,FALSE,People who took Acetarmin were cured,People who took Acetarmin and Amlobenzaprine were not cured,null,How well does the combination of Acetarmin and Amlobenzaprine work?,How well does Amlobenzaprine work?,How well does Acetarmin work?,2,4,3,2,1,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Acetarmin and Amlobenzaprine work?</p>,NA,html-slider-response,5,1031,0.0-2.0-3.0,A+,AB-,TRUE,FALSE,People who took Acetarmin were cured,People who took Acetarmin and Amlobenzaprine were not cured,null,How well does the combination of Acetarmin and Amlobenzaprine work?,How well does Amlobenzaprine work?,How well does Acetarmin work?,2,4,3,2,1,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Amlobenzaprine work?</p>,NA,html-slider-response,6,1036,0.0-2.0-4.0,A+,AB-,TRUE,FALSE,People who took Acetarmin were cured,People who took Acetarmin and Amlobenzaprine were not cured,null,How well does the combination of Acetarmin and Amlobenzaprine work?,How well does Amlobenzaprine work?,How well does Acetarmin work?,2,4,3,2,1,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Acetarmin work?</p>,NA,html-slider-response,7,1055,0.0-2.0-5.0,A+,AB-,TRUE,FALSE,People who took Acetarmin were cured,People who took Acetarmin and Amlobenzaprine were not cured,null,How well does the combination of Acetarmin and Amlobenzaprine work?,How well does Amlobenzaprine work?,How well does Acetarmin work?,2,4,3,2,1,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,8,1060,0.0-2.0-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Hydrormin and Xazolam were not cured</p><p>People who took Napropril were cured</p>,null,html-keyboard-response,9,1066,0.0-2.0-1.1,AB-,C+,FALSE,TRUE,People who took Hydrormin and Xazolam were not cured,People who took Napropril were cured,How well does Hydrormin work?,null,How well does the combination of Hydrormin and Xazolam work?,How well does Xazolam work?,20,1,4,3,2,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Hydrormin work?</p>,NA,html-slider-response,10,1073,0.0-2.0-2.1,AB-,C+,FALSE,TRUE,People who took Hydrormin and Xazolam were not cured,People who took Napropril were cured,How well does Hydrormin work?,null,How well does the combination of Hydrormin and Xazolam work?,How well does Xazolam work?,20,1,4,3,2,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,11,1087,0.0-2.0-3.1,AB-,C+,FALSE,TRUE,People who took Hydrormin and Xazolam were not cured,People who took Napropril were cured,How well does Hydrormin work?,null,How well does the combination of Hydrormin and Xazolam work?,How well does Xazolam work?,20,1,4,3,2,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Hydrormin and Xazolam work?</p>,NA,html-slider-response,12,1092,0.0-2.0-4.1,AB-,C+,FALSE,TRUE,People who took Hydrormin and Xazolam were not cured,People who took Napropril were cured,How well does Hydrormin work?,null,How well does the combination of Hydrormin and Xazolam work?,How well does Xazolam work?,20,1,4,3,2,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Xazolam work?</p>,NA,html-slider-response,13,1104,0.0-2.0-5.1,AB-,C+,FALSE,TRUE,People who took Hydrormin and Xazolam were not cured,People who took Napropril were cured,How well does Hydrormin work?,null,How well does the combination of Hydrormin and Xazolam work?,How well does Xazolam work?,20,1,4,3,2,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,14,1110,0.0-2.0-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Clindagra and Zobalta were not cured</p>,null,html-keyboard-response,15,1116,0.0-2.0-1.2,AB-,null,FALSE,null,People who took Clindagra and Zobalta were not cured,null,How well does Zobalta work?,How well does the combination of Clindagra and Zobalta work?,null,How well does Clindagra work?,12,2,3,4,1,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Zobalta work?</p>,NA,html-slider-response,16,1122,0.0-2.0-2.2,AB-,null,FALSE,null,People who took Clindagra and Zobalta were not cured,null,How well does Zobalta work?,How well does the combination of Clindagra and Zobalta work?,null,How well does Clindagra work?,12,2,3,4,1,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Clindagra and Zobalta work?</p>,NA,html-slider-response,17,1138,0.0-2.0-3.2,AB-,null,FALSE,null,People who took Clindagra and Zobalta were not cured,null,How well does Zobalta work?,How well does the combination of Clindagra and Zobalta work?,null,How well does Clindagra work?,12,2,3,4,1,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,18,1143,0.0-2.0-4.2,AB-,null,FALSE,null,People who took Clindagra and Zobalta were not cured,null,How well does Zobalta work?,How well does the combination of Clindagra and Zobalta work?,null,How well does Clindagra work?,12,2,3,4,1,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Clindagra work?</p>,NA,html-slider-response,19,1153,0.0-2.0-5.2,AB-,null,FALSE,null,People who took Clindagra and Zobalta were not cured,null,How well does Zobalta work?,How well does the combination of Clindagra and Zobalta work?,null,How well does Clindagra work?,12,2,3,4,1,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,20,1158,0.0-2.0-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Lexadipine were not cured</p><p>People who took Wellbumycin and Cymcodone were cured</p>,null,html-keyboard-response,21,1166,0.0-2.0-1.3,C-,AB+,FALSE,TRUE,People who took Lexadipine were not cured,People who took Wellbumycin and Cymcodone were cured,How well does the combination of Wellbumycin and Cymcodone work?,How well does Cymcodone work?,How well does Wellbumycin work?,How well does Lexadipine work?,17,4,3,2,1,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Wellbumycin and Cymcodone work?</p>,NA,html-slider-response,22,1172,0.0-2.0-2.3,C-,AB+,FALSE,TRUE,People who took Lexadipine were not cured,People who took Wellbumycin and Cymcodone were cured,How well does the combination of Wellbumycin and Cymcodone work?,How well does Cymcodone work?,How well does Wellbumycin work?,How well does Lexadipine work?,17,4,3,2,1,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Cymcodone work?</p>,NA,html-slider-response,23,1187,0.0-2.0-3.3,C-,AB+,FALSE,TRUE,People who took Lexadipine were not cured,People who took Wellbumycin and Cymcodone were cured,How well does the combination of Wellbumycin and Cymcodone work?,How well does Cymcodone work?,How well does Wellbumycin work?,How well does Lexadipine work?,17,4,3,2,1,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Wellbumycin work?</p>,NA,html-slider-response,24,1192,0.0-2.0-4.3,C-,AB+,FALSE,TRUE,People who took Lexadipine were not cured,People who took Wellbumycin and Cymcodone were cured,How well does the combination of Wellbumycin and Cymcodone work?,How well does Cymcodone work?,How well does Wellbumycin work?,How well does Lexadipine work?,17,4,3,2,1,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Lexadipine work?</p>,NA,html-slider-response,25,1204,0.0-2.0-5.3,C-,AB+,FALSE,TRUE,People who took Lexadipine were not cured,People who took Wellbumycin and Cymcodone were cured,How well does the combination of Wellbumycin and Cymcodone work?,How well does Cymcodone work?,How well does Wellbumycin work?,How well does Lexadipine work?,17,4,3,2,1,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,26,1209,0.0-2.0-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Lorazezepam were cured</p><p>People who took Lorazezepam and Meloprofen were cured</p>,null,html-keyboard-response,27,1216,0.0-2.0-1.4,A+,AB+,TRUE,TRUE,People who took Lorazezepam were cured,People who took Lorazezepam and Meloprofen were cured,null,How well does Meloprofen work?,How well does the combination of Lorazezepam and Meloprofen work?,How well does Lorazezepam work?,1,4,2,3,1,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,28,1222,0.0-2.0-2.4,A+,AB+,TRUE,TRUE,People who took Lorazezepam were cured,People who took Lorazezepam and Meloprofen were cured,null,How well does Meloprofen work?,How well does the combination of Lorazezepam and Meloprofen work?,How well does Lorazezepam work?,1,4,2,3,1,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Meloprofen work?</p>,NA,html-slider-response,29,1238,0.0-2.0-3.4,A+,AB+,TRUE,TRUE,People who took Lorazezepam were cured,People who took Lorazezepam and Meloprofen were cured,null,How well does Meloprofen work?,How well does the combination of Lorazezepam and Meloprofen work?,How well does Lorazezepam work?,1,4,2,3,1,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Lorazezepam and Meloprofen work?</p>,NA,html-slider-response,30,1243,0.0-2.0-4.4,A+,AB+,TRUE,TRUE,People who took Lorazezepam were cured,People who took Lorazezepam and Meloprofen were cured,null,How well does Meloprofen work?,How well does the combination of Lorazezepam and Meloprofen work?,How well does Lorazezepam work?,1,4,2,3,1,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Lorazezepam work?</p>,NA,html-slider-response,31,1254,0.0-2.0-5.4,A+,AB+,TRUE,TRUE,People who took Lorazezepam were cured,People who took Lorazezepam and Meloprofen were cured,null,How well does Meloprofen work?,How well does the combination of Lorazezepam and Meloprofen work?,How well does Lorazezepam work?,1,4,2,3,1,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,32,1259,0.0-2.0-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Amitricycline were not cured</p><p>People who took Amitricycline and Amloloft were cured</p>,null,html-keyboard-response,33,1265,0.0-2.0-1.5,A-,AB+,FALSE,TRUE,People who took Amitricycline were not cured,People who took Amitricycline and Amloloft were cured,null,How well does Amloloft work?,How well does Amitricycline work?,How well does the combination of Amitricycline and Amloloft work?,3,4,2,1,3,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,34,1271,0.0-2.0-2.5,A-,AB+,FALSE,TRUE,People who took Amitricycline were not cured,People who took Amitricycline and Amloloft were cured,null,How well does Amloloft work?,How well does Amitricycline work?,How well does the combination of Amitricycline and Amloloft work?,3,4,2,1,3,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Amloloft work?</p>,NA,html-slider-response,35,1288,0.0-2.0-3.5,A-,AB+,FALSE,TRUE,People who took Amitricycline were not cured,People who took Amitricycline and Amloloft were cured,null,How well does Amloloft work?,How well does Amitricycline work?,How well does the combination of Amitricycline and Amloloft work?,3,4,2,1,3,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Amitricycline work?</p>,NA,html-slider-response,36,1293,0.0-2.0-4.5,A-,AB+,FALSE,TRUE,People who took Amitricycline were not cured,People who took Amitricycline and Amloloft were cured,null,How well does Amloloft work?,How well does Amitricycline work?,How well does the combination of Amitricycline and Amloloft work?,3,4,2,1,3,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Amitricycline and Amloloft work?</p>,NA,html-slider-response,37,1304,0.0-2.0-5.5,A-,AB+,FALSE,TRUE,People who took Amitricycline were not cured,People who took Amitricycline and Amloloft were cured,null,How well does Amloloft work?,How well does Amitricycline work?,How well does the combination of Amitricycline and Amloloft work?,3,4,2,1,3,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,38,1309,0.0-2.0-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Tramamycin and Zotrin were cured</p><p>People who took Tramamycin were cured</p>,null,html-keyboard-response,39,1315,0.0-2.0-1.6,AB+,A+,TRUE,TRUE,People who took Tramamycin and Zotrin were cured,People who took Tramamycin were cured,How well does Zotrin work?,How well does Tramamycin work?,How well does the combination of Tramamycin and Zotrin work?,null,5,2,1,3,4,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Zotrin work?</p>,NA,html-slider-response,40,1322,0.0-2.0-2.6,AB+,A+,TRUE,TRUE,People who took Tramamycin and Zotrin were cured,People who took Tramamycin were cured,How well does Zotrin work?,How well does Tramamycin work?,How well does the combination of Tramamycin and Zotrin work?,null,5,2,1,3,4,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Tramamycin work?</p>,NA,html-slider-response,41,1337,0.0-2.0-3.6,AB+,A+,TRUE,TRUE,People who took Tramamycin and Zotrin were cured,People who took Tramamycin were cured,How well does Zotrin work?,How well does Tramamycin work?,How well does the combination of Tramamycin and Zotrin work?,null,5,2,1,3,4,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Tramamycin and Zotrin work?</p>,NA,html-slider-response,42,1342,0.0-2.0-4.6,AB+,A+,TRUE,TRUE,People who took Tramamycin and Zotrin were cured,People who took Tramamycin were cured,How well does Zotrin work?,How well does Tramamycin work?,How well does the combination of Tramamycin and Zotrin work?,null,5,2,1,3,4,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,43,1353,0.0-2.0-5.6,AB+,A+,TRUE,TRUE,People who took Tramamycin and Zotrin were cured,People who took Tramamycin were cured,How well does Zotrin work?,How well does Tramamycin work?,How well does the combination of Tramamycin and Zotrin work?,null,5,2,1,3,4,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,44,1358,0.0-2.0-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Azithroxicam were cured</p>,null,html-keyboard-response,45,1365,0.0-2.0-1.7,C+,null,TRUE,null,People who took Azithroxicam were cured,null,null,null,null,How well does Azithroxicam work?,13,2,4,3,1,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,46,1371,0.0-2.0-2.7,C+,null,TRUE,null,People who took Azithroxicam were cured,null,null,null,null,How well does Azithroxicam work?,13,2,4,3,1,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,47,1388,0.0-2.0-3.7,C+,null,TRUE,null,People who took Azithroxicam were cured,null,null,null,null,How well does Azithroxicam work?,13,2,4,3,1,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,48,1393,0.0-2.0-4.7,C+,null,TRUE,null,People who took Azithroxicam were cured,null,null,null,null,How well does Azithroxicam work?,13,2,4,3,1,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Azithroxicam work?</p>,NA,html-slider-response,49,1404,0.0-2.0-5.7,C+,null,TRUE,null,People who took Azithroxicam were cured,null,null,null,null,How well does Azithroxicam work?,13,2,4,3,1,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,50,1409,0.0-2.0-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Loratatrin were not cured</p><p>People who took Loratatrin and Amitritan were not cured</p>,null,html-keyboard-response,51,1416,0.0-2.0-1.8,A-,AB-,FALSE,FALSE,People who took Loratatrin were not cured,People who took Loratatrin and Amitritan were not cured,How well does Loratatrin work?,How well does Amitritan work?,null,How well does the combination of Loratatrin and Amitritan work?,4,1,2,4,3,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Loratatrin work?</p>,NA,html-slider-response,52,1422,0.0-2.0-2.8,A-,AB-,FALSE,FALSE,People who took Loratatrin were not cured,People who took Loratatrin and Amitritan were not cured,How well does Loratatrin work?,How well does Amitritan work?,null,How well does the combination of Loratatrin and Amitritan work?,4,1,2,4,3,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Amitritan work?</p>,NA,html-slider-response,53,1438,0.0-2.0-3.8,A-,AB-,FALSE,FALSE,People who took Loratatrin were not cured,People who took Loratatrin and Amitritan were not cured,How well does Loratatrin work?,How well does Amitritan work?,null,How well does the combination of Loratatrin and Amitritan work?,4,1,2,4,3,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,54,1443,0.0-2.0-4.8,A-,AB-,FALSE,FALSE,People who took Loratatrin were not cured,People who took Loratatrin and Amitritan were not cured,How well does Loratatrin work?,How well does Amitritan work?,null,How well does the combination of Loratatrin and Amitritan work?,4,1,2,4,3,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Loratatrin and Amitritan work?</p>,NA,html-slider-response,55,1455,0.0-2.0-5.8,A-,AB-,FALSE,FALSE,People who took Loratatrin were not cured,People who took Loratatrin and Amitritan were not cured,How well does Loratatrin work?,How well does Amitritan work?,null,How well does the combination of Loratatrin and Amitritan work?,4,1,2,4,3,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,56,1460,0.0-2.0-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Cyclonax and Lisinormin were not cured</p><p>People who took Cyclonax were not cured</p>,null,html-keyboard-response,57,1466,0.0-2.0-1.9,AB-,A-,FALSE,FALSE,People who took Cyclonax and Lisinormin were not cured,People who took Cyclonax were not cured,null,How well does Lisinormin work?,How well does the combination of Cyclonax and Lisinormin work?,How well does Cyclonax work?,8,4,2,3,1,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,58,1472,0.0-2.0-2.9,AB-,A-,FALSE,FALSE,People who took Cyclonax and Lisinormin were not cured,People who took Cyclonax were not cured,null,How well does Lisinormin work?,How well does the combination of Cyclonax and Lisinormin work?,How well does Cyclonax work?,8,4,2,3,1,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Lisinormin work?</p>,NA,html-slider-response,59,1488,0.0-2.0-3.9,AB-,A-,FALSE,FALSE,People who took Cyclonax and Lisinormin were not cured,People who took Cyclonax were not cured,null,How well does Lisinormin work?,How well does the combination of Cyclonax and Lisinormin work?,How well does Cyclonax work?,8,4,2,3,1,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does the combination of Cyclonax and Lisinormin work?</p>,NA,html-slider-response,60,1493,0.0-2.0-4.9,AB-,A-,FALSE,FALSE,People who took Cyclonax and Lisinormin were not cured,People who took Cyclonax were not cured,null,How well does Lisinormin work?,How well does the combination of Cyclonax and Lisinormin work?,How well does Cyclonax work?,8,4,2,3,1,null,q3
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Cyclonax work?</p>,NA,html-slider-response,61,1504,0.0-2.0-5.9,AB-,A-,FALSE,FALSE,People who took Cyclonax and Lisinormin were not cured,People who took Cyclonax were not cured,null,How well does Lisinormin work?,How well does the combination of Cyclonax and Lisinormin work?,How well does Cyclonax work?,8,4,2,3,1,null,q4
data_2019-09-03-13-10-57_pkuyz0772r,null,+,null,html-keyboard-response,62,1509,0.0-2.0-0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>People who took Ciprostatin were not cured</p>,null,html-keyboard-response,63,1516,0.0-2.0-1.10,C-,null,FALSE,null,People who took Ciprostatin were not cured,null,null,null,How well does Ciprostatin work?,null,14,4,2,1,3,NA,NA
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,64,1522,0.0-2.0-2.10,C-,null,FALSE,null,People who took Ciprostatin were not cured,null,null,null,How well does Ciprostatin work?,null,14,4,2,1,3,null,q1
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>null</p>,NA,html-slider-response,65,1538,0.0-2.0-3.10,C-,null,FALSE,null,People who took Ciprostatin were not cured,null,null,null,How well does Ciprostatin work?,null,14,4,2,1,3,null,q2
data_2019-09-03-13-10-57_pkuyz0772r,null,<p>How well does Ciprostatin work?</p>,NA,html-slider-response,66,1542,0.0-2.0-4.10,C-,null,FALSE,null,People who took Ciprostatin were not cured,null,null,null,How well does Ciprostatin work?,null,14,4,2,1,3,null,q3
