file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,premise_one,premise_two,question_type,overall_premise,p1_outcome,p2_outcome,p1_sentence,p2_sentence,q1,q2,q3,q4,trial_number,q1_type,q2_type,q3_type,q4_type,response,question_order
data_2019-09-03-14-55-13_mfiv6k4jb5,17018.000000000004,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,17022,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,1161,"<p>In this task, you will read the outcomes of drug trials and then judge drug efficacies</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,18184,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,2,19688,0.0-2.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Viathiazide were cured</p><p>People who took Viathiazide and Loratafloxacin were cured</p>,null,html-keyboard-response,3,24691,0.0-2.0-1.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,3637,<p>How well does the combination of Viathiazide and Loratafloxacin work?</p>,NA,html-slider-response,4,28331,0.0-2.0-2.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,97,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,4624.999999999996,<p>How well does Loratafloxacin work?</p>,NA,html-slider-response,5,32958,0.0-2.0-3.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,52,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,6,32962,0.0-2.0-4.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,null,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,3165,<p>How well does Viathiazide work?</p>,NA,html-slider-response,7,36128,0.0-2.0-5.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,99,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,8,36629,0.0-2.0-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Clindadine and Lorataptyline were not cured</p><p>People who took Oxydol were not cured</p>,null,html-keyboard-response,9,41632,0.0-2.0-1.1,AB-,C-,control,C-AB-,FALSE,FALSE,People who took Clindadine and Lorataptyline were not cured,People who took Oxydol were not cured,null,How well does the combination of Clindadine and Lorataptyline work?,How well does Lorataptyline work?,How well does Clindadine work?,22,4,3,2,1,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,10,41636,0.0-2.0-2.1,AB-,C-,control,C-AB-,FALSE,FALSE,People who took Clindadine and Lorataptyline were not cured,People who took Oxydol were not cured,null,How well does the combination of Clindadine and Lorataptyline work?,How well does Lorataptyline work?,How well does Clindadine work?,22,4,3,2,1,null,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,5348,<p>How well does the combination of Clindadine and Lorataptyline work?</p>,NA,html-slider-response,11,46985,0.0-2.0-3.1,AB-,C-,control,C-AB-,FALSE,FALSE,People who took Clindadine and Lorataptyline were not cured,People who took Oxydol were not cured,null,How well does the combination of Clindadine and Lorataptyline work?,How well does Lorataptyline work?,How well does Clindadine work?,22,4,3,2,1,-95,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,3166.9999999999927,<p>How well does Lorataptyline work?</p>,NA,html-slider-response,12,50152,0.0-2.0-4.1,AB-,C-,control,C-AB-,FALSE,FALSE,People who took Clindadine and Lorataptyline were not cured,People who took Oxydol were not cured,null,How well does the combination of Clindadine and Lorataptyline work?,How well does Lorataptyline work?,How well does Clindadine work?,22,4,3,2,1,-92,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,2703,<p>How well does Clindadine work?</p>,NA,html-slider-response,13,52856,0.0-2.0-5.1,AB-,C-,control,C-AB-,FALSE,FALSE,People who took Clindadine and Lorataptyline were not cured,People who took Oxydol were not cured,null,How well does the combination of Clindadine and Lorataptyline work?,How well does Lorataptyline work?,How well does Clindadine work?,22,4,3,2,1,-92,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,14,53358,0.0-2.0-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Tramafloxacin were cured</p>,null,html-keyboard-response,15,58360,0.0-2.0-1.2,A+,null,control,A+,TRUE,null,People who took Tramafloxacin were cured,null,null,null,How well does Tramafloxacin work?,null,9,2,4,1,3,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,16,58365,0.0-2.0-2.2,A+,null,control,A+,TRUE,null,People who took Tramafloxacin were cured,null,null,null,How well does Tramafloxacin work?,null,9,2,4,1,3,null,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,17,58368,0.0-2.0-3.2,A+,null,control,A+,TRUE,null,People who took Tramafloxacin were cured,null,null,null,How well does Tramafloxacin work?,null,9,2,4,1,3,null,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,3305,<p>How well does Tramafloxacin work?</p>,NA,html-slider-response,18,61674,0.0-2.0-4.2,A+,null,control,A+,TRUE,null,People who took Tramafloxacin were cured,null,null,null,How well does Tramafloxacin work?,null,9,2,4,1,3,84,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,19,61677,0.0-2.0-5.2,A+,null,control,A+,TRUE,null,People who took Tramafloxacin were cured,null,null,null,How well does Tramafloxacin work?,null,9,2,4,1,3,null,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,20,62178,0.0-2.0-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Clindapril were cured</p>,null,html-keyboard-response,21,67180,0.0-2.0-1.3,C+,null,control,C+,TRUE,null,People who took Clindapril were cured,null,null,null,null,How well does Clindapril work?,13,3,4,2,1,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,22,67185,0.0-2.0-2.3,C+,null,control,C+,TRUE,null,People who took Clindapril were cured,null,null,null,null,How well does Clindapril work?,13,3,4,2,1,null,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,23,67188,0.0-2.0-3.3,C+,null,control,C+,TRUE,null,People who took Clindapril were cured,null,null,null,null,How well does Clindapril work?,13,3,4,2,1,null,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,24,67207,0.0-2.0-4.3,C+,null,control,C+,TRUE,null,People who took Clindapril were cured,null,null,null,null,How well does Clindapril work?,13,3,4,2,1,null,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,2008.0000000000146,<p>How well does Clindapril work?</p>,NA,html-slider-response,25,69216,0.0-2.0-5.3,C+,null,control,C+,TRUE,null,People who took Clindapril were cured,null,null,null,null,How well does Clindapril work?,13,3,4,2,1,100,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,26,69717,0.0-2.0-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Melosone and Atorvapril were cured</p><p>People who took Melosone were cured</p>,null,html-keyboard-response,27,74718,0.0-2.0-1.4,AB+,A+,experimental,A+AB+,TRUE,TRUE,People who took Melosone and Atorvapril were cured,People who took Melosone were cured,How well does Atorvapril work?,How well does Melosone work?,How well does the combination of Melosone and Atorvapril work?,null,5,2,1,3,4,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,3811,<p>How well does Atorvapril work?</p>,NA,html-slider-response,28,78530,0.0-2.0-2.4,AB+,A+,experimental,A+AB+,TRUE,TRUE,People who took Melosone and Atorvapril were cured,People who took Melosone were cured,How well does Atorvapril work?,How well does Melosone work?,How well does the combination of Melosone and Atorvapril work?,null,5,2,1,3,4,0,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,2490,<p>How well does Melosone work?</p>,NA,html-slider-response,29,81020,0.0-2.0-3.4,AB+,A+,experimental,A+AB+,TRUE,TRUE,People who took Melosone and Atorvapril were cured,People who took Melosone were cured,How well does Atorvapril work?,How well does Melosone work?,How well does the combination of Melosone and Atorvapril work?,null,5,2,1,3,4,98,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,2961,<p>How well does the combination of Melosone and Atorvapril work?</p>,NA,html-slider-response,30,83982,0.0-2.0-4.4,AB+,A+,experimental,A+AB+,TRUE,TRUE,People who took Melosone and Atorvapril were cured,People who took Melosone were cured,How well does Atorvapril work?,How well does Melosone work?,How well does the combination of Melosone and Atorvapril work?,null,5,2,1,3,4,96,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,31,83985,0.0-2.0-5.4,AB+,A+,experimental,A+AB+,TRUE,TRUE,People who took Melosone and Atorvapril were cured,People who took Melosone were cured,How well does Atorvapril work?,How well does Melosone work?,How well does the combination of Melosone and Atorvapril work?,null,5,2,1,3,4,null,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,32,84486,0.0-2.0-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Losaprofen and Melobalta were not cured</p>,null,html-keyboard-response,33,89488,0.0-2.0-1.5,AB-,null,control,AB-,FALSE,null,People who took Losaprofen and Melobalta were not cured,null,How well does the combination of Losaprofen and Melobalta work?,How well does Losaprofen work?,null,How well does Melobalta work?,12,3,1,4,2,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,3687,<p>How well does the combination of Losaprofen and Melobalta work?</p>,NA,html-slider-response,34,93177,0.0-2.0-2.5,AB-,null,control,AB-,FALSE,null,People who took Losaprofen and Melobalta were not cured,null,How well does the combination of Losaprofen and Melobalta work?,How well does Losaprofen work?,null,How well does Melobalta work?,12,3,1,4,2,-94,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,7472,<p>How well does Losaprofen work?</p>,NA,html-slider-response,35,100650,0.0-2.0-3.5,AB-,null,control,AB-,FALSE,null,People who took Losaprofen and Melobalta were not cured,null,How well does the combination of Losaprofen and Melobalta work?,How well does Losaprofen work?,null,How well does Melobalta work?,12,3,1,4,2,-59,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,36,100653,0.0-2.0-4.5,AB-,null,control,AB-,FALSE,null,People who took Losaprofen and Melobalta were not cured,null,How well does the combination of Losaprofen and Melobalta work?,How well does Losaprofen work?,null,How well does Melobalta work?,12,3,1,4,2,null,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,9590.000000000015,<p>How well does Melobalta work?</p>,NA,html-slider-response,37,110244,0.0-2.0-5.5,AB-,null,control,AB-,FALSE,null,People who took Losaprofen and Melobalta were not cured,null,How well does the combination of Losaprofen and Melobalta work?,How well does Losaprofen work?,null,How well does Melobalta work?,12,3,1,4,2,-46,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,38,110745,0.0-2.0-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Zominophen were not cured</p>,null,html-keyboard-response,39,115748,0.0-2.0-1.6,C-,null,control,C-,FALSE,null,People who took Zominophen were not cured,null,How well does Zominophen work?,null,null,null,14,1,3,4,2,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,2755,<p>How well does Zominophen work?</p>,NA,html-slider-response,40,118508,0.0-2.0-2.6,C-,null,control,C-,FALSE,null,People who took Zominophen were not cured,null,How well does Zominophen work?,null,null,null,14,1,3,4,2,-78,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,41,118511,0.0-2.0-3.6,C-,null,control,C-,FALSE,null,People who took Zominophen were not cured,null,How well does Zominophen work?,null,null,null,14,1,3,4,2,null,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,42,118524,0.0-2.0-4.6,C-,null,control,C-,FALSE,null,People who took Zominophen were not cured,null,How well does Zominophen work?,null,null,null,14,1,3,4,2,null,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,43,118527,0.0-2.0-5.6,C-,null,control,C-,FALSE,null,People who took Zominophen were not cured,null,How well does Zominophen work?,null,null,null,14,1,3,4,2,null,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,44,119029,0.0-2.0-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Viadol and Alpradone were not cured</p><p>People who took Viadol were not cured</p>,null,html-keyboard-response,45,124031,0.0-2.0-1.7,AB-,A-,experimental,A-AB-,FALSE,FALSE,People who took Viadol and Alpradone were not cured,People who took Viadol were not cured,null,How well does the combination of Viadol and Alpradone work?,How well does Viadol work?,How well does Alpradone work?,8,4,3,1,2,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,46,124036,0.0-2.0-2.7,AB-,A-,experimental,A-AB-,FALSE,FALSE,People who took Viadol and Alpradone were not cured,People who took Viadol were not cured,null,How well does the combination of Viadol and Alpradone work?,How well does Viadol work?,How well does Alpradone work?,8,4,3,1,2,null,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,3425,<p>How well does the combination of Viadol and Alpradone work?</p>,NA,html-slider-response,47,127463,0.0-2.0-3.7,AB-,A-,experimental,A-AB-,FALSE,FALSE,People who took Viadol and Alpradone were not cured,People who took Viadol were not cured,null,How well does the combination of Viadol and Alpradone work?,How well does Viadol work?,How well does Alpradone work?,8,4,3,1,2,-65,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,2418,<p>How well does Viadol work?</p>,NA,html-slider-response,48,129881,0.0-2.0-4.7,AB-,A-,experimental,A-AB-,FALSE,FALSE,People who took Viadol and Alpradone were not cured,People who took Viadol were not cured,null,How well does the combination of Viadol and Alpradone work?,How well does Viadol work?,How well does Alpradone work?,8,4,3,1,2,-51,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,2012,<p>How well does Alpradone work?</p>,NA,html-slider-response,49,131893,0.0-2.0-5.7,AB-,A-,experimental,A-AB-,FALSE,FALSE,People who took Viadol and Alpradone were not cured,People who took Viadol were not cured,null,How well does the combination of Viadol and Alpradone work?,How well does Viadol work?,How well does Alpradone work?,8,4,3,1,2,-52,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,50,132395,0.0-2.0-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Zocillin and Tramadone were cured</p><p>People who took Loratasone were not cured</p>,null,html-keyboard-response,51,137396,0.0-2.0-1.8,AB+,C-,control,C-AB+,TRUE,FALSE,People who took Zocillin and Tramadone were cured,People who took Loratasone were not cured,How well does Zocillin work?,How well does the combination of Zocillin and Tramadone work?,null,How well does Tramadone work?,21,1,3,4,2,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,3512.999999999971,<p>How well does Zocillin work?</p>,NA,html-slider-response,52,140910,0.0-2.0-2.8,AB+,C-,control,C-AB+,TRUE,FALSE,People who took Zocillin and Tramadone were cured,People who took Loratasone were not cured,How well does Zocillin work?,How well does the combination of Zocillin and Tramadone work?,null,How well does Tramadone work?,21,1,3,4,2,47,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,2693,<p>How well does the combination of Zocillin and Tramadone work?</p>,NA,html-slider-response,53,143604,0.0-2.0-3.8,AB+,C-,control,C-AB+,TRUE,FALSE,People who took Zocillin and Tramadone were cured,People who took Loratasone were not cured,How well does Zocillin work?,How well does the combination of Zocillin and Tramadone work?,null,How well does Tramadone work?,21,1,3,4,2,96,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,54,143607,0.0-2.0-4.8,AB+,C-,control,C-AB+,TRUE,FALSE,People who took Zocillin and Tramadone were cured,People who took Loratasone were not cured,How well does Zocillin work?,How well does the combination of Zocillin and Tramadone work?,null,How well does Tramadone work?,21,1,3,4,2,null,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,7017,<p>How well does Tramadone work?</p>,NA,html-slider-response,55,150624,0.0-2.0-5.8,AB+,C-,control,C-AB+,TRUE,FALSE,People who took Zocillin and Tramadone were cured,People who took Loratasone were not cured,How well does Zocillin work?,How well does the combination of Zocillin and Tramadone work?,null,How well does Tramadone work?,21,1,3,4,2,-52,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,56,151125,0.0-2.0-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Ciproloft were cured</p><p>People who took Ciprobenzaprine and Clonastatin were not cured</p>,null,html-keyboard-response,57,156125,0.0-2.0-1.9,C+,AB-,control,C+AB-,TRUE,FALSE,People who took Ciproloft were cured,People who took Ciprobenzaprine and Clonastatin were not cured,How well does Ciprobenzaprine work?,How well does Clonastatin work?,How well does Ciproloft work?,How well does the combination of Ciprobenzaprine and Clonastatin work?,16,2,3,1,4,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,3732,<p>How well does Ciprobenzaprine work?</p>,NA,html-slider-response,58,159858,0.0-2.0-2.9,C+,AB-,control,C+AB-,TRUE,FALSE,People who took Ciproloft were cured,People who took Ciprobenzaprine and Clonastatin were not cured,How well does Ciprobenzaprine work?,How well does Clonastatin work?,How well does Ciproloft work?,How well does the combination of Ciprobenzaprine and Clonastatin work?,16,2,3,1,4,0,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,1614,<p>How well does Clonastatin work?</p>,NA,html-slider-response,59,161473,0.0-2.0-3.9,C+,AB-,control,C+AB-,TRUE,FALSE,People who took Ciproloft were cured,People who took Ciprobenzaprine and Clonastatin were not cured,How well does Ciprobenzaprine work?,How well does Clonastatin work?,How well does Ciproloft work?,How well does the combination of Ciprobenzaprine and Clonastatin work?,16,2,3,1,4,0,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,1038,<p>How well does Ciproloft work?</p>,NA,html-slider-response,60,162511,0.0-2.0-4.9,C+,AB-,control,C+AB-,TRUE,FALSE,People who took Ciproloft were cured,People who took Ciprobenzaprine and Clonastatin were not cured,How well does Ciprobenzaprine work?,How well does Clonastatin work?,How well does Ciproloft work?,How well does the combination of Ciprobenzaprine and Clonastatin work?,16,2,3,1,4,0,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,1127,<p>How well does the combination of Ciprobenzaprine and Clonastatin work?</p>,NA,html-slider-response,61,163639,0.0-2.0-5.9,C+,AB-,control,C+AB-,TRUE,FALSE,People who took Ciproloft were cured,People who took Ciprobenzaprine and Clonastatin were not cured,How well does Ciprobenzaprine work?,How well does Clonastatin work?,How well does Ciproloft work?,How well does the combination of Ciprobenzaprine and Clonastatin work?,16,2,3,1,4,0,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,62,164139,0.0-2.0-0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Acetaxicam were not cured</p><p>People who took Clonamycin and Wellbunax were cured</p>,null,html-keyboard-response,63,169141,0.0-2.0-1.10,C-,AB+,control,C-AB+,FALSE,TRUE,People who took Acetaxicam were not cured,People who took Clonamycin and Wellbunax were cured,How well does Wellbunax work?,How well does Acetaxicam work?,How well does Clonamycin work?,How well does the combination of Clonamycin and Wellbunax work?,17,3,1,2,4,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,2703.999999999971,<p>How well does Wellbunax work?</p>,NA,html-slider-response,64,171846,0.0-2.0-2.10,C-,AB+,control,C-AB+,FALSE,TRUE,People who took Acetaxicam were not cured,People who took Clonamycin and Wellbunax were cured,How well does Wellbunax work?,How well does Acetaxicam work?,How well does Clonamycin work?,How well does the combination of Clonamycin and Wellbunax work?,17,3,1,2,4,42,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,2538,<p>How well does Acetaxicam work?</p>,NA,html-slider-response,65,174385,0.0-2.0-3.10,C-,AB+,control,C-AB+,FALSE,TRUE,People who took Acetaxicam were not cured,People who took Clonamycin and Wellbunax were cured,How well does Wellbunax work?,How well does Acetaxicam work?,How well does Clonamycin work?,How well does the combination of Clonamycin and Wellbunax work?,17,3,1,2,4,-50,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,2453.000000000029,<p>How well does Clonamycin work?</p>,NA,html-slider-response,66,176840,0.0-2.0-4.10,C-,AB+,control,C-AB+,FALSE,TRUE,People who took Acetaxicam were not cured,People who took Clonamycin and Wellbunax were cured,How well does Wellbunax work?,How well does Acetaxicam work?,How well does Clonamycin work?,How well does the combination of Clonamycin and Wellbunax work?,17,3,1,2,4,47,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,3553,<p>How well does the combination of Clonamycin and Wellbunax work?</p>,NA,html-slider-response,67,180393,0.0-2.0-5.10,C-,AB+,control,C-AB+,FALSE,TRUE,People who took Acetaxicam were not cured,People who took Clonamycin and Wellbunax were cured,How well does Wellbunax work?,How well does Acetaxicam work?,How well does Clonamycin work?,How well does the combination of Clonamycin and Wellbunax work?,17,3,1,2,4,100,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,68,180895,0.0-2.0-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
